Group,AA,GLY,OXO,SUL,TAU,tetra,UNC
X17NAVY18_V1_20170213.mzML_1,0,0,0,0,0,0,0
X38698.mzXML_1,3899240,0,120628150,19636240,37784912,80672220,1492657910
Fecal.1.5EtOH.5H2O_RA10_153.mzML_1,0,7030694,7490882,0,13206142,4593392,53251121
Fecal.2.7ACN.3H2O_RB9_172.mzML_1,0,86412003,50546290,0,18678500,38169872,825717148
X39109.mzXML_1,1902770,1029670,1099367730,22909040,0,138814860,493918780
X38748.mzXML_1,14097132,20772850,569346500,0,14045130,48374000,1237260320
X38961.mzXML_1,0,0,14588190,6386780,0,4026080,64939140
X11713.5.F.5A.mzML_1,0,67291980,0,0,421940623,0,0
X15NAVY03_V2_20151211.mzML_1,0,0,0,0,471462,0,13255177
X18NAVY32_V2_20180415.mzML_1,0,0,0,0,0,1203992,20150795
Fecal.2.ACN_RB8_53.mzML_1,0,0,386886,0,413025,1770908,24719858
BP000096845_n.mzML_1,0,35930180,0,0,0,0,425988700
X11713.20.F.20D.mzML_1,0,0,0,0,4033980,0,0
X38993.mzXML_1,0,9352730,214081400,0,41110640,18359100,871522420
X11713.17.F.17E.mzML_1,0,12795340,0,0,11972832,0,0
Fecal.1.5EtOH.5H2O_RA10_151.mzML_1,0,8575693,10615030,0,3181972,6938400,54298043
X39110.mzXML_1,4052280,2703530,339874980,9400380,3975500,279686860,431098510
X38822.mzXML_1,7928260,4839110,90573520,0,14128420,28323800,1279748440
X38745.mzXML_1,0,184880294,18822480,0,173792470,9125400,1082422686
X16NAVY13_V1_20160917_180702233748.mzML_1,0,0,1503710,0,0,0,12088856
X38949.mzXML_1,0,415827000,809439481,0,73891680,18512380,1708596370
X38697.mzXML_1,12481630,0,21383000,25826060,2696214,121280380,1703040760
X17NAVY18_V1_20170210.mzML_1,0,0,429294,0,0,0,2869896
X38954.mzXML_1,24671070,7541180,206321850,24285340,208691540,110059370,2468225780
X38953.mzXML_1,24564080,4458770,118268370,40268270,1723560,84047400,2054716960
BP000096909_n.mzML_1,0,82631700,0,0,0,0,673428990
X18NAVY32_V1_20180323.mzML_1,0,0,1643120,0,0,0,10648130
X38915.mzXML_1,50944600,8905130,1991170680,47225900,23953470,446951000,1083071070
Fecal.2.7MeOH.3H2O_RB4_106.mzML_1,0,37619950,69503070,0,3557571,21655106,550492588
BP000098435_n.mzML_1,0,5720370,0,0,0,0,236658114
Fecal.2.5MeOH.5ACN_RB7_121.mzML_1,0,49188630,69146710,0,54775896,37280344,136314938
X38861.mzXML_1,2451950,0,28015170,13011720,0,94442400,776711520
X39050.mzXML_1,0,10876100,37022917,0,43898087,60618400,587742330
X39136.mzXML_1,0,0,24789930,4133000,13624100,3328180,1141895720
Fecal.2.8MeOH.2H2O_RB3_85.mzML_1,0,43744928,73605974,0,12336969,26576514,975706366
X38853.mzXML_1,0,5184290,138392850,0,0,85411000,699971970
BP000098499_n.mzML_1,0,0,0,0,0,0,18918145
BP000097005_n.mzML_1,0,52985300,0,0,0,0,170804670
X39108.mzXML_1,2564395,83868450,6106110,0,306159120,55009040,892531660
BP000096861_p.mzML_1,0,140892005,104576900,0,4125777,48303380,5580594298
X38825.mzXML_1,0,0,684514340,0,0,19486280,564928950
Fecal.1.6MeOH.4H2O_RA5_133.mzML_1,0,11458268,5385870,0,4250126,9057124,444975977
X38893.mzXML_1,46246000,27825980,795239670,11351980,5150670,66321000,2941401900
X38869.mzXML_1,0,168334906,12076110,0,451306960,0,455989930
X11713.5.F.5B.mzML_1,0,11303240,0,0,157603140,0,0
X39132.mzXML_1,46907220,34191200,127373880,46131000,0,124822700,2032387640
X38784.mzXML_1,6080520,0,0,0,0,7405540,2291822550
X17NAVY18_V2_20170305.mzML_1,0,0,0,0,0,0,16678344
Fecal.2.3ACN.3IPA.2H2O_RB11_204.mzML_1,0,79668275,52702980,0,43990477,39758150,1272230238
BP000097077_p.mzML_1,0,55733520,61516500,0,0,8291500,920838020
BP000097169_n.mzML_1,0,211768030,0,0,0,0,427385800
BP000097153_n.mzML_1,0,90362100,0,0,0,0,1719886860
X18NAVY27_V2_20180209.mzML_1,0,3395110,16863380,0,0,0,162723715
X39120.mzXML_1,0,757105893,1362044700,15560020,2906570,201808600,2700168110
X38829.mzXML_1,18754280,2868630,163998270,8580760,11505815,16040120,2547112892
X72846.mzML_1,21274598,17954445,31769104,0,33549068,1883700,2310652637
BP000096909_p.mzML_1,0,392118480,388992770,0,2119956,36522500,1307215230
X11713.20.F20B.mzML_1,0,13930130,0,0,117240390,0,0
BP000098387_p.mzML_1,0,4086507,24985982,0,0,4591460,398758690
X38832.mzXML_1,0,0,10127250,6613730,6234825,35113100,1514222754
X11713.13.F.13B.mzML_1,0,5976180,0,0,190057395,0,0
BP000096989_n.mzML_1,0,5910670,0,0,0,0,5754870
X16NAVY13_V2_20161008.mzML_1,0,0,983258,0,0,0,21632506
X16NAVY15_V2_20161203.mzML_1,0,0,0,0,0,0,186406788
BP000098371_n.mzML_1,0,10308100,0,0,0,0,6419190
Fecal.1.MeOH_RA1_35.mzML_1,0,16373810,12932013,0,36402532,8488450,135062023
X39141.mzXML_1,0,0,606047070,0,0,45815900,1493420870
X38844.mzXML_1,1953190,2081930,13915170,0,0,35257460,1783603012
X38788.mzXML_1,7198820,321047760,316242640,0,328647780,22591780,3199323390
BP000097029_p.mzML_1,0,37006134,20413770,0,0,2584140,940018386
BP000096845_p.mzML_1,0,75894282,11504970,0,0,4102820,893798640
X11713.24.F.24D.mzML_1,0,14698220,0,0,0,0,0
BP000097021_n.mzML_1,0,4474370,0,0,0,0,40312120
BP000097021_p.mzML_1,0,2536592,7985190,0,0,3145480,578797496
X11713.13.F.13E.mzML_1,0,5690620,0,0,8226960,0,0
X39127.mzXML_1,0,0,125161470,0,0,15514740,1403215660
X11713.13.F.13A.mzML_1,0,25300920,0,0,86150540,0,0
BP000096965_p.mzML_1,0,160432883,205533280,0,0,90491360,2062421270
BP000098379_p.mzML_1,0,2434957,60249230,0,0,5710140,677027774
BP000098403_p.mzML_1,0,4996173,138291790,0,0,25559320,1408009620
X72844.mzML_1,11815280,8035282,252537264,0,16680534,665690,661990678
Fecal.1.5MeOH.5H2O_RA6_157.mzML_1,0,8693229,17102303,0,2971881,5877332,70529773
Fecal.1.3ACN.3IPA.2H2O_RA11_200.mzML_1,0,32447179,17600402,0,42705416,6714596,49037008
Fecal.1.MeOH_RA1_34.mzML_1,0,29541996,32371960,0,272252881,10776328,459282071
X39147.mzXML_1,9726550,0,209371930,26335530,36350551,94560400,2031641736
X38945.mzXML_1,0,0,304113950,14162090,13017600,7913280,1342308270
X38711.mzXML_1,0,14097000,12393240,0,109271790,38466440,589209820
X17NAVY24_V2_20171001.mzML_1,0,0,763538,0,0,0,19555180
Fecal.1.7ACN.3H2O_RA9_161.mzML_1,0,27561785,46239950,0,37265842,12451254,176823613
Fecal.1.5MeOH.5H2O_RA6_156.mzML_1,0,9489014,3250215,0,1857978,7535388,76465347
BP000097005_p.mzML_1,0,44093990,19032220,0,0,6071400,387730720
X11713.5.F.5F.mzML_1,0,0,0,0,0,0,0
X11713.16.F.16E.mzML_1,0,8319400,0,0,19090794,0,0
X15NAVY02_V1_20151119.mzML_1,0,0,0,0,0,0,0
BP000098387_n.mzML_1,0,6860470,0,0,0,0,214628301
X16NAVY15_V2_20161205.mzML_1,0,0,841591,0,0,0,12005028
Fecal.2.8MeOH.2H2O_RB3_86.mzML_1,0,48114739,79020300,0,28180627,33736838,150102512
X17NAVY24_V1_20170908.mzML_1,0,0,974334,0,0,0,5242052
X11713.17.F.17A.mzML_1,0,0,0,0,1042640,0,0
X15NAVY03_V2_20151212.mzML_1,0,0,0,0,0,0,0
X38714.mzXML_1,22470250,9738750,323552836,5058640,2754930,122162220,1064291040
X38947.mzXML_1,0,4412060,189412865,0,0,143604920,82113104
X38903.mzXML_1,0,0,219590710,5367340,3351440,239444600,747972460
X17NAVY24_V2_20171002.mzML_1,0,0,0,0,0,0,5182950
X38946.mzXML_1,0,0,361061600,8613160,0,127194260,80069720
X18NAVY30_V2_20180219.mzML_1,0,0,0,0,0,0,4358344
BP000098451_p.mzML_1,0,0,0,0,0,0,236012606
BP000097029_n.mzML_1,0,25257350,0,0,0,0,180709960
BP000097185_p.mzML_1,0,216926949,167427040,0,0,6616280,957604380
BP000098435_p.mzML_1,0,10875358,44862830,0,0,9356980,1466947370
X11713.16.F.16A.mzML_1,0,49685180,2293780,0,907118035,0,4891480
X16NAVY15_V1_20161112.mzML_1,0,0,32910840,0,0,20040584,99864572
Fecal.2.7ACN.3H2O_RB9_173.mzML_1,0,51500330,75267683,0,25282899,25081762,993928503
X11713.16.F.16C.mzML_1,0,50067920,0,0,173314101,0,0
X11713.13.F.13D.mzML_1,0,0,0,0,0,0,0
X11713.20.F.20E.mzML_1,0,18095431,0,0,74490420,0,0
Fecal.2.5EtOH.5H2O_RB10_163.mzML_1,0,23481550,17434558,0,5904074,16417456,328747511
Fecal.2.8MeOH.2H2O_RB3_87.mzML_1,0,42289135,102222560,0,15089030,22037804,696447315
X38944.mzXML_1,0,0,1014507470,6009980,0,364785000,860049692
Fecal.2.ACN_RB8_54.mzML_1,0,0,393611,0,0,1185632,30163445
Fecal.1.5MeOH.5ACN_RA7_118.mzML_1,0,15540177,56827420,0,118161774,10120160,435060682
