PlotOrder,UNC,GLY,TAU,AA,OXO,SUL,tetra
54,0,0,0,0,0,0,1
55,0.004276046,0,0,0,0.977266168,0,0.018457786
56,0.004740651,0.148303959,0.839908971,0,0.00704642,0,0
57,0.005154203,0.049634285,0.925034734,0,0.020176778,0,0
58,0.00772886,0.136873637,0.837999107,0,0.017398396,0,0
59,0.008082384,0.120454433,0.871463183,0,0,0,0
60,0.009332198,0.18555966,0.8017838,0,0.003324342,0,0
61,0.009401196,0.226262611,0.746255665,0,0.018080529,0,0
62,0.010567405,0.112723424,0.854620553,0,0.022088618,0,0
63,0.010722513,0.14037092,0.840519832,0,0.008386735,0,0
64,0.011136844,0.14530846,0.82580705,0,0.017747647,0,0
65,0.014977927,0.14228333,0.811825021,0,0.030913722,0,0
66,0.020528743,0.134992208,0.844479049,0,0,0,0
67,0.021037614,0,0,0,0.978962386,0,0
68,0.021581155,0.087312303,0.848748163,0,0.042358379,0,0
69,0.02410071,0.12584866,0.814353211,0,0.035697419,0,0
70,0.025524205,0,0,0,0.974475795,0,0
71,0.02595951,0,0.009005299,0,0.965035191,0,0
72,0.034496863,0.108350076,0.816733486,0,0.040419575,0,0
73,0.035109886,0,0,0,0.964890114,0,0
74,0.03680375,0.135425873,0.827770377,0,0,0,0
75,0.043303429,0,0,0,0.956696571,0,0
76,0.045137347,0.064558362,0.890304291,0,0,0,0
77,0.048783341,0.104964583,0.846252076,0,0,0,0
78,0.049145503,0,0,0,0.950854497,0,0
79,0.051037199,0,0,0,0.948962801,0,0
80,0.051679777,0,0,0,0.948320223,0,0
81,0.055705516,0,0,0,0.944294484,0,0
82,0.05871298,0,0,0,0.94128702,0,0
83,0.061078124,0.004436382,0,0,0.934485494,0,0
84,0.064210306,0,0,0,0.935789694,0,0
85,0.065987479,0,0,0,0.934012521,0,0
86,0.066297388,0,0,0,0.933702612,0,0
87,0.067175239,0,0,0,0.932824761,0,0
88,0.06753621,0.36312271,0.56934108,0,0,0,0
89,0.073386668,0,0,0,0.92063026,0,0.005983072
90,0.075662615,0,0,0,0.922935069,0,0.001402316
91,0.076099618,0,0,0,0.923900382,0,0
92,0.078975612,0,0,0,0.921024388,0,0
93,0.08171067,0,0,0,0.91828933,0,0
94,0.094328329,0.000378611,0,0,0.90529306,0,0
95,0.094822899,0.007935645,0,0,0.880500719,0,0.016740737
96,0.096453668,0.286511271,0.617035061,0,0,0,0
97,0.096769052,0,0.903230948,0,0,0,0
98,0.098282161,0,0,0,0.901717839,0,0
99,0.098561295,0,0,0,0.8861487,0,0.015290006
100,0.100292216,0.003580312,0,0,0.896127472,0,0
101,0.102767153,0.202699623,0.694533225,0,0,0,0
102,0.106767587,0.009824715,0.883407698,0,0,0,0
103,0.108654857,0,0,0,0.891345143,0,0
104,0.108732036,0.23416577,0.657102194,0,0,0,0
105,0.115562082,0,0,0,0.878526634,0,0.005911284
106,0.115652693,0.295936073,0.003849376,0,0.583599976,0,0.000961882
107,0.115867456,0.003862096,0,0,0.878066087,0,0.002204362
108,0.118361996,0.001132399,0.00694104,0,0.873564565,0,0
109,0.119336238,0.205230363,0.675433399,0,0,0,0
110,0.119543991,0.055880432,0.002154619,0,0.809367626,0,0.013053332
111,0.12234909,0.007756362,0,0,0.869894549,0,0
112,0.123610105,0.522367203,0.349912646,0,0,0,0.004110046
113,0.124148655,0,0,0,0.875851345,0,0
114,0.128646239,0,0,0,0.871353761,0,0
115,0.129398494,0.010041208,0.830970313,0,0.029589985,0,0
116,0.134108961,0,0,0,0.865891039,0,0
117,0.138136312,0.003364384,0,0,0.848652091,0,0.009847213
118,0.139249294,0,0,0,0.791612371,0,0.069138335
119,0.165431716,0,0.096504925,0,0.738063359,0,0
120,0.185237061,0,0,0,0.814762939,0,0
121,0.18592547,0,0,0,0.81407453,0,0
122,0.188806066,0.026287488,0,0,0.661756534,0.033280622,0.08986929
