Group,AA,GLY,OXO,SUL,TAU,tetra,UNC
X38965.mzXML_1,0,1891120,39811820,0,0,0,30693360
X38777.mzXML_1,3348240,0,262120366,0,0,67258600,1101252760
X38744.mzXML_1,13516310,23295600,1504148530,0,3090760,6941680,403480903
X38842.mzXML_1,0,0,4092380,0,5333000,0,216135340
X11713.21.F.21A.mzML_1,0,94869750,20019210,0,568667597,0,0
X38798.mzXML_1,0,0,29310410,0,0,0,10539800
X38852.mzXML_1,0,931343674,0,0,623869430,7327920,220388050
X17NAVY22_V2_20170818.mzML_1,0,0,0,0,0,0,28237313
dhmc_7_10.mzML_1,248957,0,6641168,0,0,0,235154218
X38816.mzXML_1,904477,5774011,309621940,0,1986276,16739880,843494630
X16NAVY14_V2_20161119.mzML_1,0,0,0,0,0,0,42488456
X11713.12.F.12D.mzML_1,0,0,0,0,4470810,0,0
X11713.23.F.23E.mzML_1,0,53719940,40748710,0,683468210,0,0
X16NAVY11_V2_20160712.mzML_1,0,0,16000680,0,2092157,0,3586440
X38725.mzXML_1,0,5198060,302365340,9053240,0,145200960,881434860
X39118.mzXML_1,0,4210490,1331831040,0,0,11172960,1653043298
X11713.21.F.21B.mzML_1,0,4009350,0,0,54695700,0,0
X38868.mzXML_1,0,0,0,0,0,0,0
X38810.mzXML_1,0,0,154240100,0,0,0,13724500
X38817.mzXML_1,82949686,17090100,1576557180,0,58007890,227692340,2030272660
X38707.mzXML_1,0,5692600,1908418880,0,0,5057680,968348520
X38763.mzXML_1,0,0,178662350,0,0,3082720,19871600
X38762.mzXML_1,13417950,210805,33657810,0,17430472,273819400,1113073789
X38768.mzXML_1,0,0,1550471220,0,0,2355800,127108300
X11713.2.F.2I.mzML_1,0,2907120,8643720,0,191608650,10275860,0
X38747.mzXML_1,5896820,3164180,535279420,12835010,3989520,127519600,1052951180
X11713.10.F.10A.mzML_1,0,11996200,0,0,33663030,0,5570290
X39015.mzXML_1,0,0,158487180,24511940,2530000,11180360,2755344490
M.192.mzML_1,0,0,50572680,0,0,0,79340009
X39024.mzXML_1,0,31272590,736280410,0,12162310,67189060,406743406
X11713.9.F.9E.mzML_1,0,0,0,0,6452320,0,0
dhmc_9_10.mzML_1,3137771,1969745,20663670,0,116980,4082360,1649380300
M.675.mzML_1,0,0,85897330,0,0,0,41847843
X38857.mzXML_1,0,4878940,1958300330,35044120,2350490,302719260,1430947020
X39149.mzXML_1,0,0,137881252,6433300,0,23651000,342547583
X39014.mzXML_1,1081610,0,1025862,15039986,0,0,673982370
X38736.mzXML_1,0,2204270,221248989,0,0,0,129209500
X11713.19.F.19C.mzML_1,0,1763820,3040570,0,62158230,0,0
X38726.mzXML_1,0,3385330,23449560,0,0,0,10725700
X38752.mzXML_1,0,234980780,579288600,6145420,443491550,73450460,3522241201
X38879.mzXML_1,0,0,185346295,0,0,0,42331010
X38950.mzXML_1,0,28707780,96119790,4244038,257278965,190443200,1368349750
M.496.mzML_1,232004,7415096,19391798,0,0,7011660,567982828
X39106.mzXML_1,0,23413000,337076820,6416172,136661430,26281760,387805342
X38759_38845.mzXML_1,0,48443800,701656060,0,1867880,11316180,103634940
X38966.mzXML_1,1836000,0,783043780,0,0,89180200,953285740
X38717.mzXML_1,12355820,15805370,128156400,14575290,10835910,54394560,2255633200
X11713.2.F.2F.mzML_1,0,34545900,0,0,77959010,0,0
X38977.mzXML_1,69021910,189655010,1241271460,0,15087430,28161980,3345880862
X11713.2.F.2G.mzML_1,0,3670894,0,0,3593010,0,68017080
X38981.mzXML_1,0,0,164959770,0,0,0,11879200
X39137.mzXML_1,0,12933200,3001658600,0,29113550,20358000,3067385240
X11713.9.F.9G.mzML_1,0,5512810,0,0,18627040,0,0
X38715.mzXML_1,15269700,0,854402520,4270170,0,33621460,1429365444
M.334.mzML_1,0,10891450,333029110,0,0,8695200,647193665
X38972.mzXML_1,0,1244640,44824740,0,0,0,21104360
X38712.mzXML_1,0,0,1223759550,0,0,0,86457950
X39092.mzXML_1,20072910,0,1654442340,0,0,114570951,1836351660
X39145.mzXML_1,0,0,95585008,0,0,0,11651800
X38974.mzXML_1,1422720,0,410976350,0,0,19574500,360823070
X38830.mzXML_1,0,0,1159389700,0,0,0,82322260
X11713.9.F.9D.mzML_1,0,6287440,0,0,110854380,0,0
X38710.mzXML_1,0,0,204186980,0,0,4782740,1708951955
X11713.7.F.7A.mzML_1,0,110992780,5273640,0,628599749,0,3547970
M.448.mzML_1,16867980,28310669,1350108840,0,0,0,2991401489
X38785.mzXML_1,0,0,24509370,0,0,0,509034600
X38886.mzXML_1,0,0,42929923,0,0,11151980,21600340
dhmc_3_1.mzML_1,750931,652571,14909312,0,0,0,200393245
M.627.mzML_1,0,0,219274606,0,0,0,183413481
X18NAVY28_V2_20180416.mzML_1,0,0,0,0,0,2215720,71890320
X38881.mzXML_1,0,0,477269130,0,0,9014260,2088300
X39057.mzXML_1,0,916420,8371950,0,0,6128440,503453130
X39139.mzXML_1,6088490,18142140,1796108100,32089620,34989810,54288210,1774004440
X39042.mzXML_1,0,0,39964863,0,0,0,5664870
X39126.mzXML_1,5728230,16141300,1798601540,0,0,11689580,2006019840
X38871.mzXML_1,62143120,6457920,35901300,2044200,130111230,134656600,1034526851
M.243.mzML_1,0,0,329594342,0,0,0,115104411
X39131.mzXML_1,0,0,32081100,0,18750354,0,462173190
X11713.4.F.4F.mzML_1,0,112936350,24537540,0,644380160,0,11888620
M.704.mzML_1,0,0,337860350,0,0,10707060,414292212
X11713.12.F.12B.mzML_1,0,0,0,0,0,0,0
X38772.mzXML_1,0,0,396652010,11379720,7828950,2173440,279278630
X16NAVY08_V2_20160514.mzML_1,0,0,0,0,0,0,658513
X11713.12.F.8.12A.mzML_1,0,0,0,0,2878815,0,0
X38971.mzXML_1,0,0,192227000,0,0,0,60814220
X38836.mzXML_1,0,0,0,0,0,21788220,450222200
X38863.mzXML_1,0,0,893232920,0,0,5805020,71202730
X11713.4.F.4E.mzML_1,0,96608770,27403420,0,625145010,0,18501110
X38771.mzXML_1,7489460,48529200,1617532460,0,0,10655220,895144861
X11713.10.F.10G.mzML_1,0,2841670,8373990,0,235165280,0,36619880
X38696.mzXML_1,0,4020700,913446080,0,0,5481280,249206950
X17NAVY22_V1_20170703.mzML_1,0,0,1908537,0,0,0,4306430
M.512.mzML_1,0,1843770,1463097290,0,0,0,2068736955
M.144.mzML_1,0,21196290,4219264680,0,0,0,2256396742
X11713.23.F.23A.mzML_1,0,103308070,20243641,0,783237384,0,9684750
X11713.1.F.1C.mzML_1,0,22005030,6090720,0,371591460,0,0
X38928.mzXML_1,0,0,198360015,0,0,0,10252360
X38933.mzXML_1,0,5423500,1368055830,0,0,15874040,222680400
X16NAVY14_V1_20161028.mzML_1,0,0,0,0,0,0,5208091
X38735.mzXML_1,0,670216160,174675300,2823520,176066850,67753060,546831460
X38994.mzXML_1,0,0,141101400,6071120,0,35471160,517534540
X38841.mzXML_1,0,0,21882980,0,0,0,13163300
X11713.25.F.25C.mzML_1,0,3072640,0,0,27612621,0,0
X38983.mzXML_1,0,699799,539844940,0,4289420,0,73145280
X39047.mzXML_1,0,46666074,16184354,1278682,38664160,173815000,268928010
X38976.mzXML_1,194686,4019180,237698770,16801300,19331710,23349040,1481178070
X39146.mzXML_1,0,4315080,84960843,0,0,0,102984892
X11713.4.F.4A.mzML_1,0,0,0,0,0,0,0
X11713.12.F.12C.mzML_1,0,0,0,0,0,0,0
X39122.mzXML_1,0,9296120,8994620,0,0,0,21854690
X38990.mzXML_1,51654250,3351650,637585210,2732050,0,193146380,1842799521
M.994.mzML_1,0,0,862671540,0,0,29041340,2036125268
X38864.mzXML_1,0,55488600,3296720,0,30810680,0,39526660
dhmc_6_10.mzML_1,42049903,2895140,116920772,0,22805640,0,2103237897
X39142.mzXML_1,0,0,588717230,0,0,0,64166859
X38760.mzXML_1,0,56173500,0,0,120976110,0,18910740
X38767.mzXML_1,0,0,973252180,0,0,0,35414160
X39028.mzXML_1,0,0,87179880,10201660,0,104396780,830604700
X39095.mzXML_1,0,420493,0,0,0,7407660,32862400
X38835.mzXML_1,0,37370090,2248056,0,247922520,23109060,1027458761
X38982.mzXML_1,0,0,528753190,0,0,0,141813180
X11713.25.F.25A.mzML_1,0,28363990,1694662,0,169839281,0,2166640
M.563.mzML_1,0,0,0,0,0,0,0
X11713.22.F.22A.mzML_1,0,10972681,0,0,917278,0,0
X16NAVY08_V2_20160314.mzML_1,0,0,0,0,2146416,0,652229
X38952.mzXML_1,3978340,6588900,442130940,0,4076220,136269660,2477214630
X38700.mzXML_1,0,122578600,2164343140,0,0,84593770,561940830
X38876.mzXML_1,0,0,130531330,0,0,0,59872360
X11713.3.F.3A.mzML_1,0,17763960,1124630,0,148088979,0,0
X38828.mzXML_1,0,2642230,653515330,0,0,0,230593846
X39117.mzXML_1,5010960,9831130,0,802452,0,0,415883324
X38943.mzXML_1,0,0,0,0,2316730,0,15878600
X38720.mzXML_1,3398171,6489870,659936480,0,0,7401520,661785827
X18NAVY28_V1_20180323.mzML_1,0,0,5686970,0,0,0,300972071
X39022.mzXML_1,0,22036560,554744422,27898840,0,75336600,158274390
X38704.mzXML_1,0,1034460,2282891390,0,0,4476500,604748700
X38824.mzXML_1,4575980,6291750,889641960,0,0,71825380,1079783034
X72851.mzML_1,7914420,1685971763,31452826,0,133654310,0,1245608120
X38872.mzXML_1,0,0,0,0,0,0,0
X38831.mzXML_1,0,0,273772074,0,0,0,113025500
X11713.25.F.25G.mzML_1,0,16505764,0,0,103256122,0,2510090
X11713.10.F.10E.mzML_1,0,0,1574715,0,1281470,0,0
X11713.21.F.21C.WYE4.mzML_1,0,0,0,0,1072700,0,0
X72845.mzML_1,0,0,0,0,0,0,4646620
X11713.22.F.22C.mzML_1,0,81536890,30417020,0,614618010,0,25959990
X38969.mzXML_1,23503002,12900510,2968829510,0,70898090,224100580,1319785570
X38792.mzXML_1,0,10946710,221238400,3603320,0,86306280,116391680
X11713.3.F.3B.mzML_1,0,2856020,0,0,55781178,0,0
X38795.mzXML_1,0,0,12039640,0,0,0,826114
X11713.19.F.19B.WYD9.mzML_1,0,0,0,0,108880480,0,0
M.307.mzML_1,0,61687000,1397525780,0,0,17224100,757965974
X39123.mzXML_1,0,0,688372940,0,0,0,18030383
X38779.mzXML_1,0,32840124,120144000,0,63777750,8055060,295503460
X11713.11.F.11A.mzML_1,0,3977190,0,0,8263860,0,0
X11713.25.F.25E.mzML_1,0,2974293,0,0,41017550,0,2079540
X38898.mzXML_1,3103890,2821414,18188780,9891420,30863795,2369540,2716476490
X16NAVY11_V2_20160714.mzML_1,0,0,0,0,0,0,0
X11713.2.F.2C.mzML_1,0,35590630,637614,0,153783374,0,1789930
X38728.mzXML_1,3153240,0,850244420,0,0,21158140,1527555933
X38781.mzXML_1,0,2476220,274749370,0,0,5223740,29588314
M.643.mzML_1,1095170,3804800,1543840060,0,2899530,3211320,1493544647
M.656.mzML_1,45324730,0,4294090580,9301960,0,12338420,3150950386
X38884.mzXML_1,0,0,178590200,0,0,0,27660000
